score,rank,ticker,name,price,change%,signals,pt_BB,pt_出来高,pt_収縮,pt_MA,pt_MA75補正,BB上限,BB中央,BB下限,BW%,MA5,MA25,MA75,出来高比
80,★★★,4005.T,"Sumitomo Chemical Company, Limited",603.5,10.77,"BB上抜け, 出来高急増, ゴールデンC",40,35,0,10,-5,567.31,525.03,482.75,16.1,538.4,525.03,514.41,4.85
75,★★☆,3099.T,Isetan Mitsukoshi Holdings Ltd.,3363.0,5.09,"BB上抜け, 出来高急増, ゴールデンC",40,30,0,10,-5,3310.92,3111.76,2912.6,12.8,3164.8,3111.76,2934.09,2.66
75,★★☆,4183.T,"Mitsui Chemicals, Inc.",2167.5,8.43,"BB上抜け, 出来高急増, ゴールデンC",40,30,0,10,-5,2092.65,1962.2,1831.75,13.3,1989.9,1962.2,2062.12,2.13
70,★★☆,5301.T,"Tokai Carbon Co., Ltd.",1585.0,18.46,"BB上抜け, 出来高急増",40,35,0,0,-5,1392.06,1105.93,819.8,51.74,1345.8,1105.93,1051.51,4.19
70,★★☆,7762.T,"Citizen Watch Co., Ltd.",2263.0,7.97,"BB上抜け, 出来高急増",40,35,0,0,-5,2120.89,1878.04,1635.19,25.86,2088.8,1878.04,1693.87,3.27
65,★★☆,6954.T,Fanuc Corporation,8036.0,4.64,"BB上抜け, 出来高急増",40,30,0,0,-5,8027.28,6633.84,5240.4,42.01,7709.0,6633.84,6350.33,2.08
65,★★☆,7735.T,"SCREEN Holdings Co., Ltd.",12205.0,8.83,"BB上抜け, 出来高急増",40,30,0,0,-5,12066.0,10690.96,9315.92,25.72,11528.0,10690.96,10223.07,2.68
65,★★☆,4004.T,Resonac Holdings Corporation,18690.0,4.91,"BB上抜け, 出来高急増",40,30,0,0,-5,17973.08,14205.2,10437.32,53.05,17434.0,14205.2,11673.64,2.35
60,★★☆,VRTX,Vertex Pharmaceuticals Incorporated,454.05,0.22,"BB上抜け, ゴールデンC",40,0,0,10,10,452.63,435.04,417.45,8.09,444.08,435.04,455.21,0.14
55,★★☆,GS,"The Goldman Sachs Group, Inc.",965.14,1.02,"BB上抜け, バンド収縮",40,0,20,0,-5,962.55,925.82,889.1,7.93,949.56,925.82,889.32,0.21
50,★★☆,4208.T,UBE Corporation,2459.0,4.62,"バンド収縮, 出来高急増",0,30,20,0,0,2497.38,2406.3,2315.22,7.57,2381.2,2406.3,2542.02,2.72
45,★☆☆,4272.T,"Nippon Kayaku Co., Ltd.",2094.0,-3.97,"BB上抜け, 出来高急増, ゴールデンC",40,0,0,10,-5,2008.56,1797.46,1586.36,23.49,1919.5,1797.46,1806.29,2.41
45,★☆☆,3407.T,Asahi Kasei Corporation,1729.0,-1.2,"BB上抜け, ゴールデンC",40,0,0,10,-5,1709.36,1580.76,1452.16,16.27,1640.5,1580.76,1604.19,1.11
